earnings_date,name,short_float,symbol,datetime,url
2022-02-16,"The Trade Desk, Inc.",2.36,TTD,2022-01-10,https://finance.yahoo.com/quote/TTD/
2022-02-22,"TrueCar, Inc.",4.26,TRUE,2022-01-10,https://finance.yahoo.com/quote/TRUE/
2022-02-07,Two Harbors Investment Corp,4.14,TWO,2022-01-10,https://finance.yahoo.com/quote/TWO/
2022-02-03,Trane Technologies plc,0.73,TT,2022-01-10,https://finance.yahoo.com/quote/TT/
2022-02-07,"Take-Two Interactive Software, ",1.77,TTWO,2022-01-10,https://finance.yahoo.com/quote/TTWO/
2020-11-16,"Titan Pharmaceuticals, Inc.",3.4,TTNP,2022-01-10,https://finance.yahoo.com/quote/TTNP/
2022-01-25,Texas Instruments Incorporated,2.09,TXN,2022-01-10,https://finance.yahoo.com/quote/TXN/
2022-02-23,"TPI Composites, Inc.",11.78,TPIC,2022-01-10,https://finance.yahoo.com/quote/TPIC/
2022-02-28,"TherapeuticsMD, Inc.",6.25,TXMD,2022-01-10,https://finance.yahoo.com/quote/TXMD/
2022-02-02,Twist Bioscience Corporation,9.92,TWST,2022-01-10,https://finance.yahoo.com/quote/TWST/
2022-02-21,"Toll Brothers, Inc.",3.83,TOL,2022-01-10,https://finance.yahoo.com/quote/TOL/
2022-02-02,"Tyme Technologies, Inc.",1.84,TYME,2022-01-10,https://finance.yahoo.com/quote/TYME/
2022-02-10,"Twitter, Inc.",2.86,TWTR,2022-01-10,https://finance.yahoo.com/quote/TWTR/
2022-02-15,"10x Genomics, Inc.",2.98,TXG,2022-01-10,https://finance.yahoo.com/quote/TXG/
2022-02-16,"Texas Roadhouse, Inc.",4.23,TXRH,2022-01-10,https://finance.yahoo.com/quote/TXRH/
2022-02-09,"2U, Inc.",10.4,TWOU,2022-01-10,https://finance.yahoo.com/quote/TWOU/
2022-02-15,Ternium S.A. Ternium S.A.,0.86,TX,2022-01-10,https://finance.yahoo.com/quote/TX/
2022-02-08,"Tyler Technologies, Inc.",1.37,TYL,2022-01-10,https://finance.yahoo.com/quote/TYL/
2022-03-08,Tupperware Brands Corporation,7.41,TUP,2022-01-10,https://finance.yahoo.com/quote/TUP/
